symbol,mode,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
A,ddim,SUCCESS,A,1.0000,I,0.3887,0.6113,1.000000,,20260104_164521
B,ddim,WARN,B,1.0000,G,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_164521
C,ddim,SUCCESS,C,1.0000,Q,0.1895,0.8105,1.000000,,20260104_164521
D,ddim,SUCCESS,D,1.0000,L,0.1209,0.8791,1.000000,,20260104_164521
E,ddim,SUCCESS,E,1.0000,A,0.1542,0.8458,1.000000,,20260104_164521
F,ddim,SUCCESS,F,1.0000,H,0.3107,0.6893,1.000000,,20260104_164521
G,ddim,WARN,B,1.0000,G,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_164521
H,ddim,SUCCESS,H,1.0000,F,0.3107,0.6893,1.000000,,20260104_164521
I,ddim,SUCCESS,I,1.0000,A,0.3887,0.6113,1.000000,,20260104_164521
J,ddim,SUCCESS,J,1.0000,P,0.1760,0.8240,1.000000,,20260104_164521
K,ddim,SUCCESS,K,1.0000,P,0.1321,0.8679,1.000000,,20260104_164521
L,ddim,SUCCESS,L,1.0000,V,0.1422,0.8578,1.000000,,20260104_164521
M,ddim,SUCCESS,M,1.0000,N,0.2405,0.7595,1.000000,,20260104_164521
N,ddim,SUCCESS,N,1.0000,M,0.2405,0.7595,1.000000,,20260104_164521
O,ddim,SUCCESS,O,1.0000,U,0.1923,0.8077,1.000000,,20260104_164521
P,ddim,SUCCESS,P,1.0000,J,0.1760,0.8240,1.000000,,20260104_164521
Q,ddim,SUCCESS,Q,1.0000,C,0.1895,0.8105,1.000000,,20260104_164521
R,ddim,SUCCESS,R,1.0000,U,0.1174,0.8826,1.000000,,20260104_164521
S,ddim,SUCCESS,S,1.0000,B,0.1490,0.8510,1.000000,,20260104_164521
T,ddim,SUCCESS,T,1.0000,C,0.1312,0.8688,1.000000,,20260104_164521
U,ddim,SUCCESS,U,1.0000,O,0.1923,0.8077,1.000000,,20260104_164521
V,ddim,WARN,V,1.0000,X,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_164521
W,ddim,SUCCESS,W,1.0000,I,0.1018,0.8982,1.000000,,20260104_164521
X,ddim,WARN,V,1.0000,X,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_164521
Y,ddim,SUCCESS,Y,1.0000,D,0.1194,0.8806,1.000000,,20260104_164521
Z,ddim,SUCCESS,Z,1.0000,V,0.2952,0.7048,1.000000,,20260104_164521
