symbol,mode,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
A,ddim,SUCCESS,A,1.0000,I,0.3887,0.6113,1.000000,,20260104_164559
B,ddim,SUCCESS,B,1.0000,C,0.1527,0.8473,1.000000,,20260104_164559
C,ddim,SUCCESS,C,1.0000,Q,0.1895,0.8105,1.000000,,20260104_164559
D,ddim,SUCCESS,D,1.0000,G,0.1739,0.8261,1.000000,,20260104_164559
E,ddim,SUCCESS,E,1.0000,A,0.1542,0.8458,1.000000,,20260104_164559
F,ddim,SUCCESS,F,1.0000,H,0.3107,0.6893,1.000000,,20260104_164559
G,ddim,SUCCESS,G,1.0000,D,0.1739,0.8261,1.000000,,20260104_164559
H,ddim,SUCCESS,H,1.0000,F,0.3107,0.6893,1.000000,,20260104_164559
I,ddim,SUCCESS,I,1.0000,A,0.3887,0.6113,1.000000,,20260104_164559
J,ddim,SUCCESS,J,1.0000,P,0.1760,0.8240,1.000000,,20260104_164559
K,ddim,SUCCESS,K,1.0000,P,0.1321,0.8679,1.000000,,20260104_164559
L,ddim,SUCCESS,L,1.0000,V,0.1422,0.8578,1.000000,,20260104_164559
M,ddim,SUCCESS,M,1.0000,N,0.2405,0.7595,1.000000,,20260104_164559
N,ddim,SUCCESS,N,1.0000,M,0.2405,0.7595,1.000000,,20260104_164559
O,ddim,SUCCESS,O,1.0000,U,0.1923,0.8077,1.000000,,20260104_164559
P,ddim,SUCCESS,P,1.0000,J,0.1760,0.8240,1.000000,,20260104_164559
Q,ddim,SUCCESS,Q,1.0000,C,0.1895,0.8105,1.000000,,20260104_164559
R,ddim,SUCCESS,R,1.0000,U,0.1174,0.8826,1.000000,,20260104_164559
S,ddim,SUCCESS,S,1.0000,B,0.1490,0.8510,1.000000,,20260104_164559
T,ddim,SUCCESS,T,1.0000,X,0.1364,0.8636,1.000000,,20260104_164559
U,ddim,SUCCESS,U,1.0000,O,0.1923,0.8077,1.000000,,20260104_164559
V,ddim,SUCCESS,V,1.0000,Z,0.2952,0.7048,1.000000,,20260104_164559
W,ddim,SUCCESS,W,1.0000,I,0.1018,0.8982,1.000000,,20260104_164559
X,ddim,SUCCESS,X,1.0000,T,0.1364,0.8636,1.000000,,20260104_164559
Y,ddim,SUCCESS,Y,1.0000,D,0.1194,0.8806,1.000000,,20260104_164559
Z,ddim,SUCCESS,Z,1.0000,V,0.2952,0.7048,1.000000,,20260104_164559
