number,roman,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
83,LXXXIII,WARN,LII,1.0000,LIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
84,LXXXIV,WARN,LXXIV,1.0000,LXXIX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
85,LXXXV,WARN,LVII,1.0000,LVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
86,LXXXVI,WARN,LVII,1.0000,LVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
87,LXXXVII,WARN,LVII,1.0000,LVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
88,LXXXVIII,WARN,LVII,1.0000,LVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
89,LXXXIX,WARN,LXXIV,1.0000,LXXIX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
90,XC,WARN,XL,1.0000,XC,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
91,XCI,WARN,XLI,1.0000,XCI,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
92,XCII,WARN,XLII,1.0000,XLIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
93,XCIII,WARN,XLII,1.0000,XLIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
94,XCIV,WARN,XLIV,1.0000,XLIX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
95,XCV,WARN,XLV,1.0000,XLVI,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
96,XCVI,WARN,XLV,1.0000,XLVI,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
97,XCVII,WARN,XLVII,1.0000,XLVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
98,XCVIII,WARN,XLVII,1.0000,XLVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
99,XCIX,WARN,XLIV,1.0000,XLIX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
