number,roman,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
1,I,SUCCESS,I,1.0000,XCVII,0.1166,0.8834,1.000000,,20260104_224915
2,II,SUCCESS,II,1.0000,XCIII,0.0880,0.9120,1.000000,,20260104_224915
3,III,SUCCESS,III,1.0000,XIII,0.1431,0.8569,1.000000,,20260104_224915
4,IV,SUCCESS,IV,1.0000,XLVIII,0.1451,0.8549,1.000000,,20260104_224915
5,V,SUCCESS,V,1.0000,XCV,0.1081,0.8919,1.000000,,20260104_224915
6,VI,SUCCESS,VI,1.0000,XXVIII,0.0995,0.9005,1.000000,,20260104_224915
7,VII,SUCCESS,VII,1.0000,XLVII,0.1293,0.8707,1.000000,,20260104_224915
8,VIII,SUCCESS,VIII,1.0000,XXVI,0.1777,0.8223,1.000000,,20260104_224915
9,IX,SUCCESS,IX,1.0000,IV,0.1392,0.8608,1.000000,,20260104_224915
10,X,SUCCESS,X,1.0000,XVIII,0.1025,0.8975,1.000000,,20260104_224915
11,XI,SUCCESS,XI,1.0000,XXI,0.1748,0.8252,1.000000,,20260104_224915
12,XII,SUCCESS,XII,1.0000,XXXVII,0.1339,0.8661,1.000000,,20260104_224915
13,XIII,SUCCESS,XIII,1.0000,III,0.1431,0.8569,1.000000,,20260104_224915
14,XIV,SUCCESS,XIV,1.0000,XXXIV,0.1857,0.8143,1.000000,,20260104_224915
15,XV,SUCCESS,XV,1.0000,XCVII,0.1335,0.8665,1.000000,,20260104_224915
16,XVI,SUCCESS,XVI,1.0000,XIV,0.1121,0.8879,1.000000,,20260104_224915
17,XVII,SUCCESS,XVII,1.0000,XXXII,0.1747,0.8253,1.000000,,20260104_224915
18,XVIII,SUCCESS,XVIII,1.0000,XXVIII,0.2559,0.7441,1.000000,,20260104_224915
19,XIX,SUCCESS,XIX,1.0000,LXXXIX,0.1777,0.8223,1.000000,,20260104_224915
20,XX,SUCCESS,XX,1.0000,XXI,0.0959,0.9041,1.000000,,20260104_224915
21,XXI,SUCCESS,XXI,1.0000,XI,0.1748,0.8252,1.000000,,20260104_224915
22,XXII,SUCCESS,XXII,1.0000,XXVII,0.2283,0.7717,1.000000,,20260104_224915
23,XXIII,SUCCESS,XXIII,1.0000,LIII,0.2552,0.7448,1.000000,,20260104_224915
24,XXIV,SUCCESS,XXIV,1.0000,XXIX,0.2861,0.7139,1.000000,,20260104_224915
25,XXV,SUCCESS,XXV,1.0000,LXXXVIII,0.2313,0.7687,1.000000,,20260104_224915
26,XXVI,SUCCESS,XXVI,1.0000,LVIII,0.2816,0.7184,1.000000,,20260104_224915
27,XXVII,SUCCESS,XXVII,1.0000,XXVI,0.2703,0.7297,1.000000,,20260104_224915
28,XXVIII,SUCCESS,XXVIII,1.0000,LXXXVIII,0.2933,0.7067,1.000000,,20260104_224915
29,XXIX,SUCCESS,XXIX,1.0000,LXXXVIII,0.2890,0.7110,1.000000,,20260104_224915
30,XXX,SUCCESS,XXX,1.0000,XXXII,0.1691,0.8309,1.000000,,20260104_224915
31,XXXI,SUCCESS,XXXI,1.0000,XCIII,0.1970,0.8030,1.000000,,20260104_224915
32,XXXII,SUCCESS,XXXII,1.0000,XXXVIII,0.2579,0.7421,1.000000,,20260104_224915
33,XXXIII,SUCCESS,XXXIII,1.0000,XXXVIII,0.1772,0.8228,1.000000,,20260104_224915
34,XXXIV,SUCCESS,XXXIV,1.0000,XXXIX,0.2785,0.7215,1.000000,,20260104_224915
35,XXXV,SUCCESS,XXXV,1.0000,XXXVII,0.2183,0.7817,1.000000,,20260104_224915
36,XXXVI,SUCCESS,XXXVI,1.0000,LXVIII,0.1550,0.8450,1.000000,,20260104_224915
37,XXXVII,SUCCESS,XXXVII,1.0000,XXVII,0.2509,0.7491,1.000000,,20260104_224915
38,XXXVIII,SUCCESS,XXXVIII,1.0000,XXXII,0.2579,0.7421,1.000000,,20260104_224915
39,XXXIX,SUCCESS,XXXIX,1.0000,XXXIV,0.2785,0.7215,1.000000,,20260104_224915
40,XL,SUCCESS,XL,1.0000,LXIX,0.1044,0.8956,1.000000,,20260104_224915
41,XLI,SUCCESS,XLI,1.0000,XCVI,0.2448,0.7552,1.000000,,20260104_224915
42,XLII,SUCCESS,XLII,1.0000,XCVII,0.3247,0.6753,1.000000,,20260104_224915
43,XLIII,SUCCESS,XLIII,1.0000,XCVII,0.1906,0.8094,1.000000,,20260104_224915
44,XLIV,SUCCESS,XLIV,1.0000,XLIX,0.2991,0.7009,1.000000,,20260104_224915
45,XLV,SUCCESS,XLV,1.0000,XLII,0.2620,0.7380,1.000000,,20260104_224915
46,XLVI,SUCCESS,XLVI,1.0000,XCIX,0.1925,0.8075,1.000000,,20260104_224915
47,XLVII,SUCCESS,XLVII,1.0000,XLV,0.2593,0.7407,1.000000,,20260104_224915
48,XLVIII,SUCCESS,XLVIII,1.0000,XXIV,0.2578,0.7422,1.000000,,20260104_224915
49,XLIX,SUCCESS,XLIX,1.0000,XLIV,0.2991,0.7009,1.000000,,20260104_224915
50,L,SUCCESS,L,1.0000,LX,0.1141,0.8859,1.000000,,20260104_224915
51,LI,SUCCESS,LI,1.0000,LXXI,0.2343,0.7657,1.000000,,20260104_224915
52,LII,SUCCESS,LII,1.0000,XXXVIII,0.1326,0.8674,1.000000,,20260104_224915
53,LIII,SUCCESS,LIII,1.0000,XXIII,0.2552,0.7448,1.000000,,20260104_224915
54,LIV,SUCCESS,LIV,1.0000,LXXXIX,0.1502,0.8498,1.000000,,20260104_224915
55,LV,SUCCESS,LV,1.0000,LIX,0.1472,0.8528,1.000000,,20260104_224915
56,LVI,SUCCESS,LVI,1.0000,LIX,0.2036,0.7964,1.000000,,20260104_224915
57,LVII,SUCCESS,LVII,1.0000,LXXXVII,0.2136,0.7864,1.000000,,20260104_224915
58,LVIII,SUCCESS,LVIII,1.0000,XXVI,0.2816,0.7184,1.000000,,20260104_224915
59,LIX,SUCCESS,LIX,1.0000,LVI,0.2036,0.7964,1.000000,,20260104_224915
60,LX,SUCCESS,LX,1.0000,L,0.1141,0.8859,1.000000,,20260104_224915
61,LXI,SUCCESS,LXI,1.0000,LXIII,0.1818,0.8182,1.000000,,20260104_224915
62,LXII,SUCCESS,LXII,1.0000,XXI,0.1333,0.8667,1.000000,,20260104_224915
63,LXIII,SUCCESS,LXIII,1.0000,LXI,0.1818,0.8182,1.000000,,20260104_224915
64,LXIV,SUCCESS,LXIV,1.0000,LXXXIV,0.1572,0.8428,1.000000,,20260104_224915
65,LXV,SUCCESS,LXV,1.0000,LXIII,0.1340,0.8660,1.000000,,20260104_224915
66,LXVI,SUCCESS,LXVI,1.0000,LXXXIX,0.1494,0.8506,1.000000,,20260104_224915
67,LXVII,SUCCESS,LXVII,1.0000,LXXXVII,0.1735,0.8265,1.000000,,20260104_224915
68,LXVIII,SUCCESS,LXVIII,1.0000,XXV,0.1965,0.8035,1.000000,,20260104_224915
