number,roman,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
69,LXIX,SUCCESS,LXIX,1.0000,LIX,0.1832,0.8168,1.000000,,20260104_224915
70,LXX,SUCCESS,LXX,1.0000,LXXII,0.1264,0.8736,1.000000,,20260104_224915
71,LXXI,SUCCESS,LXXI,1.0000,LXXV,0.2999,0.7001,1.000000,,20260104_224915
72,LXXII,SUCCESS,LXXII,1.0000,LI,0.2045,0.7955,1.000000,,20260104_224915
73,LXXIII,SUCCESS,LXXIII,1.0000,LXXI,0.1514,0.8486,1.000000,,20260104_224915
74,LXXIV,SUCCESS,LXXIV,1.0000,LXXVIII,0.2166,0.7834,1.000000,,20260104_224915
75,LXXV,SUCCESS,LXXV,1.0000,LXXI,0.2999,0.7001,1.000000,,20260104_224915
76,LXXVI,SUCCESS,LXXVI,1.0000,LXXVIII,0.2641,0.7359,1.000000,,20260104_224915
77,LXXVII,SUCCESS,LXXVII,1.0000,LXXXV,0.1985,0.8015,1.000000,,20260104_224915
78,LXXVIII,SUCCESS,LXXVIII,1.0000,LXXVI,0.2641,0.7359,1.000000,,20260104_224915
79,LXXIX,SUCCESS,LXXIX,1.0000,XXVI,0.2195,0.7805,1.000000,,20260104_224915
80,LXXX,SUCCESS,LXXX,1.0000,LXVIII,0.1687,0.8313,1.000000,,20260104_224915
81,LXXXI,SUCCESS,LXXXI,1.0000,LXXXIII,0.1860,0.8140,1.000000,,20260104_224915
82,LXXXII,SUCCESS,LXXXII,1.0000,LIX,0.1897,0.8103,1.000000,,20260104_224915
83,LXXXIII,SUCCESS,LXXXIII,1.0000,LXXXI,0.1860,0.8140,1.000000,,20260104_224915
84,LXXXIV,SUCCESS,LXXXIV,1.0000,XXIV,0.2837,0.7163,1.000000,,20260104_224915
85,LXXXV,SUCCESS,LXXXV,1.0000,LXXXVII,0.2330,0.7670,1.000000,,20260104_224915
86,LXXXVI,SUCCESS,LXXXVI,1.0000,XXVI,0.2427,0.7573,1.000000,,20260104_224915
87,LXXXVII,SUCCESS,LXXXVII,1.0000,LXXXV,0.2330,0.7670,1.000000,,20260104_224915
88,LXXXVIII,SUCCESS,LXXXVIII,1.0000,XXVIII,0.2933,0.7067,1.000000,,20260104_224915
89,LXXXIX,SUCCESS,LXXXIX,1.0000,LVIII,0.2539,0.7461,1.000000,,20260104_224915
90,XC,SUCCESS,XC,1.0000,XCIV,0.1166,0.8834,1.000000,,20260104_224915
91,XCI,SUCCESS,XCI,1.0000,XCIX,0.2489,0.7511,1.000000,,20260104_224915
92,XCII,SUCCESS,XCII,1.0000,XCV,0.2755,0.7245,1.000000,,20260104_224915
93,XCIII,SUCCESS,XCIII,1.0000,XXXI,0.1970,0.8030,1.000000,,20260104_224915
94,XCIV,SUCCESS,XCIV,1.0000,XLV,0.2566,0.7434,1.000000,,20260104_224915
95,XCV,SUCCESS,XCV,1.0000,XCVII,0.3264,0.6736,1.000000,,20260104_224915
96,XCVI,SUCCESS,XCVI,1.0000,XCV,0.2958,0.7042,1.000000,,20260104_224915
97,XCVII,SUCCESS,XCVII,1.0000,XCV,0.3264,0.6736,1.000000,,20260104_224915
98,XCVIII,SUCCESS,XCVIII,1.0000,LXXV,0.2208,0.7792,1.000000,,20260104_224915
99,XCIX,SUCCESS,XCIX,1.0000,XCI,0.2489,0.7511,1.000000,,20260104_224915
