Phase,Trial,CharID,Target,Recalled,Score,Success,MemorySize
P1-4,4,0x4f38,伸,伸,1.0000,True,1000
P1-4,5,0x4f38,伸,伸,1.0000,True,1000
P1-4,6,0x4f38,伸,伸,1.0000,True,1000
P1-4,7,0x4f38,伸,伸,1.0000,True,1000
P1-4,8,0x4f38,伸,伸,1.0000,True,1000
P1-4,9,0x4f38,伸,伸,1.0000,True,1000
P1-4,0,0x4f39,伹,伹,1.0000,True,1000
P1-4,1,0x4f39,伹,伹,1.0000,True,1000
P1-4,2,0x4f39,伹,伹,1.0000,True,1000
P1-4,3,0x4f39,伹,伹,1.0000,True,1000
P1-4,4,0x4f39,伹,伹,1.0000,True,1000
P1-4,5,0x4f39,伹,伹,1.0000,True,1000
P1-4,6,0x4f39,伹,伹,1.0000,True,1000
P1-4,7,0x4f39,伹,伹,1.0000,True,1000
P1-4,8,0x4f39,伹,伹,1.0000,True,1000
P1-4,9,0x4f39,伹,伹,1.0000,True,1000
P1-4,0,0x4f3a,伺,伺,1.0000,True,1000
P1-4,1,0x4f3a,伺,伺,1.0000,True,1000
P1-4,2,0x4f3a,伺,伺,1.0000,True,1000
P1-4,3,0x4f3a,伺,伺,1.0000,True,1000
P1-4,4,0x4f3a,伺,伺,1.0000,True,1000
P1-4,5,0x4f3a,伺,伺,1.0000,True,1000
P1-4,6,0x4f3a,伺,伺,1.0000,True,1000
P1-4,7,0x4f3a,伺,伺,1.0000,True,1000
P1-4,8,0x4f3a,伺,伺,1.0000,True,1000
P1-4,9,0x4f3a,伺,伺,1.0000,True,1000
P1-4,0,0x4f3b,伻,伻,1.0000,True,1000
P1-4,1,0x4f3b,伻,伻,1.0000,True,1000
P1-4,2,0x4f3b,伻,伻,1.0000,True,1000
P1-4,3,0x4f3b,伻,伻,1.0000,True,1000
P1-4,4,0x4f3b,伻,伻,1.0000,True,1000
P1-4,5,0x4f3b,伻,伻,1.0000,True,1000
P1-4,6,0x4f3b,伻,伻,1.0000,True,1000
P1-4,7,0x4f3b,伻,伻,1.0000,True,1000
P1-4,8,0x4f3b,伻,伻,1.0000,True,1000
P1-4,9,0x4f3b,伻,伻,1.0000,True,1000
P1-4,0,0x4f3c,似,似,1.0000,True,1000
P1-4,1,0x4f3c,似,似,1.0000,True,1000
P1-4,2,0x4f3c,似,似,1.0000,True,1000
P1-4,3,0x4f3c,似,似,1.0000,True,1000
P1-4,4,0x4f3c,似,似,1.0000,True,1000
P1-4,5,0x4f3c,似,似,1.0000,True,1000
P1-4,6,0x4f3c,似,似,1.0000,True,1000
P1-4,7,0x4f3c,似,似,1.0000,True,1000
P1-4,8,0x4f3c,似,似,1.0000,True,1000
P1-4,9,0x4f3c,似,似,1.0000,True,1000
P1-4,0,0x4f3d,伽,伽,1.0000,True,1000
P1-4,1,0x4f3d,伽,伽,1.0000,True,1000
P1-4,2,0x4f3d,伽,伽,1.0000,True,1000
P1-4,3,0x4f3d,伽,伽,1.0000,True,1000
P1-4,4,0x4f3d,伽,伽,1.0000,True,1000
P1-4,5,0x4f3d,伽,伽,1.0000,True,1000
P1-4,6,0x4f3d,伽,伽,1.0000,True,1000
P1-4,7,0x4f3d,伽,伽,1.0000,True,1000
P1-4,8,0x4f3d,伽,伽,1.0000,True,1000
P1-4,9,0x4f3d,伽,伽,1.0000,True,1000
P1-4,0,0x4f3e,伾,伾,1.0000,True,1000
P1-4,1,0x4f3e,伾,伾,1.0000,True,1000
P1-4,2,0x4f3e,伾,伾,1.0000,True,1000
