phase,kanji,role,expected,top1,is_correct,score
2,出,ROLE_ON,シュツ,シュツ,True,0.009167782112522855
2,出,ROLE_KUN,でる,でる,True,0.009837121162478965
2,出,ROLE_KANA,でる,でる,True,0.01056459255962946
2,出,ROLE_GLOSS,exit,exit,True,0.009927775431834394
2,大,ROLE_ON,ダイ,ダイ,True,0.010137776537972324
2,大,ROLE_KUN,おおきい,おおきい,True,0.009860312053470155
2,大,ROLE_KANA,おおきい,おおきい,True,0.009868168115452169
2,大,ROLE_GLOSS,big,big,True,0.010540798742606024
2,小,ROLE_ON,ショウ,ショウ,True,0.008958964422473839
2,小,ROLE_KUN,ちいさい,ちいさい,True,0.009934335272310819
2,小,ROLE_KANA,ちいさい,ちいさい,True,0.009932886795960282
2,小,ROLE_GLOSS,small,small,True,0.009896509608809462
2,長,ROLE_ON,チョウ,チョウ,True,0.010290821542306957
2,長,ROLE_KUN,ながい,ながい,True,0.010210905823072762
2,長,ROLE_KANA,ながい,ながい,True,0.00953565858519986
2,長,ROLE_GLOSS,long,long,True,0.009566235519672214
2,高,ROLE_ON,コウ,コウ,True,0.010686969161646995
2,高,ROLE_KUN,たかい,たかい,True,0.009518188374188491
2,高,ROLE_KANA,たかい,たかい,True,0.009083882503360207
2,高,ROLE_GLOSS,high,high,True,0.009617707134223922
2,新,ROLE_ON,シン,シン,True,0.009614769385444151
2,新,ROLE_KUN,あたらしい,あたらしい,True,0.010554172286888364
2,新,ROLE_KANA,あたらしい,あたらしい,True,0.010332050188380553
2,新,ROLE_GLOSS,new,new,True,0.010914776869054399
2,古,ROLE_ON,コ,コ,True,0.010753904068714902
2,古,ROLE_KUN,ふるい,ふるい,True,0.01002008029494073
2,古,ROLE_KANA,ふるい,ふるい,True,0.00946963569959878
2,古,ROLE_GLOSS,old,old,True,0.00902441913395892
2,早,ROLE_ON,ソウ,ソウ,True,0.010983950252472669
2,早,ROLE_KUN,はやい,はやい,True,0.009847689843796614
2,早,ROLE_KANA,はやい,はやい,True,0.009580233163381413
2,早,ROLE_GLOSS,early,early,True,0.00978462934224477
2,多,ROLE_ON,タ,タ,True,0.010343104571645816
2,多,ROLE_KUN,おおい,おおい,True,0.009937622539728581
2,多,ROLE_KANA,おおい,おおい,True,0.010428653701025963
2,多,ROLE_GLOSS,many,many,True,0.009799414781927113
2,少,ROLE_ON,ショウ,ショウ,True,0.009689334058727671
2,少,ROLE_KUN,すくない,すくない,True,0.010516393078005979
2,少,ROLE_KANA,すくない,すくない,True,0.00978440539982903
2,少,ROLE_GLOSS,few,few,True,0.01040367457285445
2,上,ROLE_ON,ジョウ,ジョウ,True,0.010303356403719675
2,上,ROLE_KUN,うえ,うえ,True,0.008461439479861575
2,上,ROLE_KANA,うえ,うえ,True,0.010118990133065556
2,上,ROLE_GLOSS,up,up,True,0.010134769199038943
2,下,ROLE_ON,カ,カ,True,0.009107329779904173
2,下,ROLE_KUN,した,した,True,0.00955214974588093
2,下,ROLE_KANA,した,した,True,0.009570629169701991
2,下,ROLE_GLOSS,down,down,True,0.011124807655846706
2,中,ROLE_ON,チュウ,チュウ,True,0.009999014641456454
2,中,ROLE_KUN,なか,なか,True,0.010279105214831084
2,中,ROLE_KANA,なか,なか,True,0.010345021242104093
2,中,ROLE_GLOSS,middle,middle,True,0.009578058992739846
2,外,ROLE_ON,ガイ,ガイ,True,0.008943742837067264
2,外,ROLE_KUN,そと,そと,True,0.009158415466837308
2,外,ROLE_KANA,そと,そと,True,0.01025240811346221
2,外,ROLE_GLOSS,outside,outside,True,0.01015910982473725
