run_id,timestamp,variant_dim,length_L,seq_id,target_seq,pred_seq,exact_match,edit_dist,near_miss,avg_margin,min_margin,valid_margin_pct,status
RUN_2048_4_SEQ_4_0213,20260105_073759,2048,4,SEQ_4_0213,NZKX,NZKX,1,0,0,0.010116,0.009032,1.00,PASS
RUN_2048_4_SEQ_4_0214,20260105_073759,2048,4,SEQ_4_0214,DPVP,DPVP,1,0,0,0.010057,0.008903,1.00,PASS
RUN_2048_4_SEQ_4_0215,20260105_073759,2048,4,SEQ_4_0215,PGSF,PGSF,1,0,0,0.009961,0.009609,1.00,PASS
RUN_2048_4_SEQ_4_0216,20260105_073759,2048,4,SEQ_4_0216,UNAH,UNAH,1,0,0,0.010128,0.009896,1.00,PASS
RUN_2048_4_SEQ_4_0217,20260105_073759,2048,4,SEQ_4_0217,BESS,BESS,1,0,0,0.009770,0.009478,1.00,PASS
RUN_2048_4_SEQ_4_0218,20260105_073759,2048,4,SEQ_4_0218,FEUQ,FEUQ,1,0,0,0.010139,0.009550,1.00,PASS
RUN_2048_4_SEQ_4_0219,20260105_073759,2048,4,SEQ_4_0219,BSEB,BSEB,1,0,0,0.009717,0.009244,1.00,PASS
RUN_2048_4_SEQ_4_0220,20260105_073759,2048,4,SEQ_4_0220,FIFQ,FIFQ,1,0,0,0.010190,0.009930,1.00,PASS
RUN_2048_4_SEQ_4_0221,20260105_073759,2048,4,SEQ_4_0221,MTSU,MTSU,1,0,0,0.009958,0.009497,1.00,PASS
RUN_2048_4_SEQ_4_0222,20260105_073759,2048,4,SEQ_4_0222,AXXV,AXXV,1,0,0,0.009830,0.009553,1.00,PASS
RUN_2048_4_SEQ_4_0223,20260105_073759,2048,4,SEQ_4_0223,JCGO,JCGO,1,0,0,0.009629,0.008929,1.00,PASS
RUN_2048_4_SEQ_4_0224,20260105_073759,2048,4,SEQ_4_0224,TPPF,TPPF,1,0,0,0.009649,0.008920,1.00,PASS
RUN_2048_4_SEQ_4_0225,20260105_073759,2048,4,SEQ_4_0225,HNTE,HNTE,1,0,0,0.009830,0.009380,1.00,PASS
RUN_2048_4_SEQ_4_0226,20260105_073759,2048,4,SEQ_4_0226,ZSYF,ZSYF,1,0,0,0.010315,0.009792,1.00,PASS
RUN_2048_4_SEQ_4_0227,20260105_073759,2048,4,SEQ_4_0227,TVQI,TVQI,1,0,0,0.009821,0.008950,1.00,PASS
RUN_2048_4_SEQ_4_0228,20260105_073759,2048,4,SEQ_4_0228,FXVK,FXVK,1,0,0,0.009960,0.009334,1.00,PASS
RUN_2048_4_SEQ_4_0229,20260105_073759,2048,4,SEQ_4_0229,OTSC,OTSC,1,0,0,0.009983,0.009836,1.00,PASS
RUN_2048_4_SEQ_4_0230,20260105_073759,2048,4,SEQ_4_0230,HMME,HMME,1,0,0,0.009922,0.009531,1.00,PASS
RUN_2048_4_SEQ_4_0231,20260105_073759,2048,4,SEQ_4_0231,DAGQ,DAGQ,1,0,0,0.010176,0.009201,1.00,PASS
RUN_2048_4_SEQ_4_0232,20260105_073759,2048,4,SEQ_4_0232,QVNE,QVNE,1,0,0,0.009925,0.009870,1.00,PASS
RUN_2048_4_SEQ_4_0233,20260105_073759,2048,4,SEQ_4_0233,TDFP,TDFP,1,0,0,0.009865,0.009273,1.00,PASS
RUN_2048_4_SEQ_4_0234,20260105_073759,2048,4,SEQ_4_0234,TTBZ,TTBZ,1,0,0,0.009719,0.008554,1.00,PASS
RUN_2048_4_SEQ_4_0235,20260105_073759,2048,4,SEQ_4_0235,RQYD,RQYD,1,0,0,0.010017,0.009622,1.00,PASS
RUN_2048_4_SEQ_4_0236,20260105_073759,2048,4,SEQ_4_0236,CPVE,CPVE,1,0,0,0.009992,0.009618,1.00,PASS
RUN_2048_4_SEQ_4_0237,20260105_073759,2048,4,SEQ_4_0237,TRAY,TRAY,1,0,0,0.010230,0.009979,1.00,PASS
RUN_2048_4_SEQ_4_0238,20260105_073759,2048,4,SEQ_4_0238,VUNQ,VUNQ,1,0,0,0.010217,0.009117,1.00,PASS
RUN_2048_4_SEQ_4_0239,20260105_073759,2048,4,SEQ_4_0239,NLBW,NLBW,1,0,0,0.010013,0.009081,1.00,PASS
RUN_2048_4_SEQ_4_0240,20260105_073759,2048,4,SEQ_4_0240,QNHZ,QNHZ,1,0,0,0.010082,0.009524,1.00,PASS
RUN_2048_4_SEQ_4_0241,20260105_073759,2048,4,SEQ_4_0241,PZYM,PZYM,1,0,0,0.010303,0.009869,1.00,PASS
RUN_2048_4_SEQ_4_0242,20260105_073759,2048,4,SEQ_4_0242,LSZX,LSZX,1,0,0,0.009576,0.008661,1.00,PASS
RUN_2048_4_SEQ_4_0243,20260105_073759,2048,4,SEQ_4_0243,YWSD,YWSD,1,0,0,0.010050,0.009678,1.00,PASS
RUN_2048_4_SEQ_4_0244,20260105_073759,2048,4,SEQ_4_0244,NEIP,NEIP,1,0,0,0.010157,0.009609,1.00,PASS
RUN_2048_4_SEQ_4_0245,20260105_073759,2048,4,SEQ_4_0245,YHCJ,YHCJ,1,0,0,0.010257,0.009974,1.00,PASS
RUN_2048_4_SEQ_4_0246,20260105_073759,2048,4,SEQ_4_0246,TRNI,TRNI,1,0,0,0.009859,0.009338,1.00,PASS
RUN_2048_4_SEQ_4_0247,20260105_073759,2048,4,SEQ_4_0247,GAWX,GAWX,1,0,0,0.010161,0.009569,1.00,PASS
RUN_2048_4_SEQ_4_0248,20260105_073759,2048,4,SEQ_4_0248,ZASQ,ZASQ,1,0,0,0.010442,0.009946,1.00,PASS
RUN_2048_4_SEQ_4_0249,20260105_073759,2048,4,SEQ_4_0249,DQAM,DQAM,1,0,0,0.009478,0.008661,1.00,PASS
RUN_2048_4_SEQ_4_0250,20260105_073759,2048,4,SEQ_4_0250,UGWZ,UGWZ,1,0,0,0.009907,0.009285,1.00,PASS
RUN_2048_4_SEQ_4_0251,20260105_073759,2048,4,SEQ_4_0251,KNLD,KNLD,1,0,0,0.009957,0.009679,1.00,PASS
RUN_2048_4_SEQ_4_0252,20260105_073759,2048,4,SEQ_4_0252,ENUS,ENUS,1,0,0,0.009914,0.008771,1.00,PASS
RUN_2048_4_SEQ_4_0253,20260105_073759,2048,4,SEQ_4_0253,IIRN,IIRN,1,0,0,0.009714,0.009126,1.00,PASS
RUN_2048_4_SEQ_4_0254,20260105_073759,2048,4,SEQ_4_0254,SLTI,SLTI,1,0,0,0.009762,0.008923,1.00,PASS
RUN_2048_4_SEQ_4_0255,20260105_073759,2048,4,SEQ_4_0255,VMYG,VMYG,1,0,0,0.009996,0.009515,1.00,PASS
RUN_2048_4_SEQ_4_0256,20260105_073759,2048,4,SEQ_4_0256,NRZR,NRZR,1,0,0,0.010074,0.009511,1.00,PASS
RUN_2048_4_SEQ_4_0257,20260105_073759,2048,4,SEQ_4_0257,PFLR,PFLR,1,0,0,0.009952,0.009497,1.00,PASS
RUN_2048_4_SEQ_4_0258,20260105_073759,2048,4,SEQ_4_0258,RPIJ,RPIJ,1,0,0,0.010070,0.009443,1.00,PASS
RUN_2048_4_SEQ_4_0259,20260105_073759,2048,4,SEQ_4_0259,SLYW,SLYW,1,0,0,0.010099,0.009290,1.00,PASS
RUN_2048_4_SEQ_4_0260,20260105_073759,2048,4,SEQ_4_0260,MXEV,MXEV,1,0,0,0.010304,0.009726,1.00,PASS
RUN_2048_4_SEQ_4_0261,20260105_073759,2048,4,SEQ_4_0261,DXHO,DXHO,1,0,0,0.010137,0.009658,1.00,PASS
RUN_2048_4_SEQ_4_0262,20260105_073759,2048,4,SEQ_4_0262,ZWFD,ZWFD,1,0,0,0.010369,0.010014,1.00,PASS
RUN_2048_4_SEQ_4_0263,20260105_073759,2048,4,SEQ_4_0263,GQMZ,GQMZ,1,0,0,0.010210,0.010044,1.00,PASS
RUN_2048_4_SEQ_4_0264,20260105_073759,2048,4,SEQ_4_0264,KZRT,KZRT,1,0,0,0.009800,0.008393,1.00,PASS
RUN_2048_4_SEQ_4_0265,20260105_073759,2048,4,SEQ_4_0265,WVWB,WVWB,1,0,0,0.009648,0.008859,1.00,PASS
RUN_2048_4_SEQ_4_0266,20260105_073759,2048,4,SEQ_4_0266,FMUA,FMUA,1,0,0,0.010044,0.008748,1.00,PASS
RUN_2048_4_SEQ_4_0267,20260105_073759,2048,4,SEQ_4_0267,ZCEP,ZCEP,1,0,0,0.009790,0.008983,1.00,PASS
RUN_2048_4_SEQ_4_0268,20260105_073759,2048,4,SEQ_4_0268,TNCC,TNCC,1,0,0,0.010023,0.009861,1.00,PASS
RUN_2048_4_SEQ_4_0269,20260105_073759,2048,4,SEQ_4_0269,IHLC,IHLC,1,0,0,0.010111,0.009370,1.00,PASS
RUN_2048_4_SEQ_4_0270,20260105_073759,2048,4,SEQ_4_0270,TBXM,TBXM,1,0,0,0.009884,0.009156,1.00,PASS
RUN_2048_4_SEQ_4_0271,20260105_073759,2048,4,SEQ_4_0271,MTUQ,MTUQ,1,0,0,0.009903,0.009401,1.00,PASS
RUN_2048_4_SEQ_4_0272,20260105_073759,2048,4,SEQ_4_0272,JWTB,JWTB,1,0,0,0.009990,0.009492,1.00,PASS
RUN_2048_4_SEQ_4_0273,20260105_073759,2048,4,SEQ_4_0273,YFUP,YFUP,1,0,0,0.010332,0.009984,1.00,PASS
RUN_2048_4_SEQ_4_0274,20260105_073759,2048,4,SEQ_4_0274,OAGV,OAGV,1,0,0,0.010403,0.010055,1.00,PASS
RUN_2048_4_SEQ_4_0275,20260105_073759,2048,4,SEQ_4_0275,ZQJG,ZQJG,1,0,0,0.009846,0.009350,1.00,PASS
RUN_2048_4_SEQ_4_0276,20260105_073759,2048,4,SEQ_4_0276,BZTQ,BZTQ,1,0,0,0.010064,0.009286,1.00,PASS
RUN_2048_4_SEQ_4_0277,20260105_073759,2048,4,SEQ_4_0277,QWHT,QWHT,1,0,0,0.009693,0.009267,1.00,PASS
RUN_2048_4_SEQ_4_0278,20260105_073759,2048,4,SEQ_4_0278,FVBL,FVBL,1,0,0,0.009916,0.009269,1.00,PASS
RUN_2048_4_SEQ_4_0279,20260105_073759,2048,4,SEQ_4_0279,HUAF,HUAF,1,0,0,0.009863,0.008812,1.00,PASS
RUN_2048_4_SEQ_4_0280,20260105_073759,2048,4,SEQ_4_0280,CIYM,CIYM,1,0,0,0.009977,0.009539,1.00,PASS
RUN_2048_4_SEQ_4_0281,20260105_073759,2048,4,SEQ_4_0281,LVMM,LVMM,1,0,0,0.009541,0.009094,1.00,PASS
RUN_2048_4_SEQ_4_0282,20260105_073759,2048,4,SEQ_4_0282,SGQA,SGQA,1,0,0,0.010225,0.008965,1.00,PASS
RUN_2048_4_SEQ_4_0283,20260105_073759,2048,4,SEQ_4_0283,XWCC,XWCC,1,0,0,0.010233,0.009937,1.00,PASS
RUN_2048_4_SEQ_4_0284,20260105_073759,2048,4,SEQ_4_0284,RJXR,RJXR,1,0,0,0.009782,0.009098,1.00,PASS
RUN_2048_4_SEQ_4_0285,20260105_073759,2048,4,SEQ_4_0285,SLLI,SLLI,1,0,0,0.009791,0.009236,1.00,PASS
RUN_2048_4_SEQ_4_0286,20260105_073759,2048,4,SEQ_4_0286,HTGO,HTGO,1,0,0,0.009934,0.009274,1.00,PASS
RUN_2048_4_SEQ_4_0287,20260105_073759,2048,4,SEQ_4_0287,MSAI,MSAI,1,0,0,0.010054,0.009653,1.00,PASS
RUN_2048_4_SEQ_4_0288,20260105_073759,2048,4,SEQ_4_0288,FNQD,FNQD,1,0,0,0.010318,0.009472,1.00,PASS
RUN_2048_4_SEQ_4_0289,20260105_073759,2048,4,SEQ_4_0289,RCQJ,RCQJ,1,0,0,0.010370,0.009727,1.00,PASS
RUN_2048_4_SEQ_4_0290,20260105_073759,2048,4,SEQ_4_0290,KDZQ,KDZQ,1,0,0,0.010182,0.009101,1.00,PASS
RUN_2048_4_SEQ_4_0291,20260105_073759,2048,4,SEQ_4_0291,IRZS,IRZS,1,0,0,0.010034,0.009330,1.00,PASS
